run,tag,step,value
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,Params(M),40,13.359999656677246
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,Params(M),50,12.890000343322754
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,Params(M),60,12.420000076293945
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,Params(M),70,11.949999809265137
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,Params(M),80,11.470000267028809
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,Params(M),89,11.0
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,Params(M),99,10.539999961853027
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,ACC,0,93.52999877929688
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,ACC,10,93.62999725341797
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,ACC,20,93.5999984741211
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,ACC,30,93.41999816894531
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,ACC,40,93.66999816894531
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,ACC,50,93.52999877929688
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,ACC,60,93.58999633789062
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,ACC,70,93.48999786376953
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,ACC,80,93.08000183105469
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,ACC,89,46.529998779296875
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,ACC,99,10.0
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,MACs(G),0,314.9599914550781
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,MACs(G),10,314.9599914550781
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,MACs(G),20,314.9599914550781
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,MACs(G),30,314.9599914550781
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,MACs(G),40,314.9599914550781
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,MACs(G),50,314.9599914550781
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,MACs(G),60,314.9599914550781
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,MACs(G),70,314.95001220703125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,MACs(G),80,314.95001220703125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,MACs(G),89,314.95001220703125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,MACs(G),99,314.95001220703125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,Params(M),0,15.25
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,Params(M),10,14.779999732971191
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,Params(M),20,14.3100004196167
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,Params(M),30,13.829999923706055
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,Params(M),40,13.359999656677246
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,Params(M),50,12.890000343322754
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,Params(M),60,12.420000076293945
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,Params(M),70,11.949999809265137
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,Params(M),80,11.470000267028809
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,Params(M),89,11.0
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,Params(M),99,10.539999961853027
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,ACC,0,93.55999755859375
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,ACC,10,93.76000213623047
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,ACC,20,93.68000030517578
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,ACC,30,93.69000244140625
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,ACC,40,93.4000015258789
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,ACC,50,93.52999877929688
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,ACC,60,93.27999877929688
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,ACC,70,93.37000274658203
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,ACC,80,93.26000213623047
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,ACC,89,93.4800033569336
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,ACC,99,10.0
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,MACs(G),0,314.9599914550781
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,MACs(G),10,314.92999267578125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,MACs(G),20,314.9100036621094
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,MACs(G),30,314.8800048828125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,MACs(G),40,314.8500061035156
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,MACs(G),50,314.82000732421875
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,MACs(G),60,314.79998779296875
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,MACs(G),70,314.7699890136719
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,MACs(G),80,314.739990234375
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,MACs(G),89,314.7200012207031
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,MACs(G),99,314.69000244140625
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,Params(M),0,15.25
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,Params(M),10,14.989999771118164
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,Params(M),20,14.729999542236328
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,Params(M),30,14.460000038146973
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,Params(M),40,14.199999809265137
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,Params(M),50,13.9399995803833
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,Params(M),60,13.680000305175781
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,Params(M),70,13.420000076293945
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,Params(M),80,13.149999618530273
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,Params(M),89,12.890000343322754
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer12,Params(M),99,12.640000343322754
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,ACC,0,93.5
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,ACC,10,92.58000183105469
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,ACC,20,90.80999755859375
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,ACC,30,88.9800033569336
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,ACC,40,81.58999633789062
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,ACC,50,72.16000366210938
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,ACC,60,57.04999923706055
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,ACC,70,22.34000015258789
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,ACC,80,10.779999732971191
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,ACC,89,10.0
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,ACC,99,10.0
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,MACs(G),0,314.9599914550781
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,MACs(G),10,314.95001220703125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,MACs(G),20,314.92999267578125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,MACs(G),30,314.9200134277344
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,MACs(G),40,314.9100036621094
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,MACs(G),50,314.8900146484375
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,MACs(G),60,314.8800048828125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,MACs(G),70,314.8699951171875
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,MACs(G),80,314.8500061035156
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,MACs(G),89,314.8399963378906
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,MACs(G),99,314.8299865722656
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,Params(M),0,15.25
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,Params(M),10,15.210000038146973
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,Params(M),20,15.15999984741211
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,Params(M),30,15.119999885559082
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,Params(M),40,15.079999923706055
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,Params(M),50,15.029999732971191
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,Params(M),60,14.989999771118164
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,Params(M),70,14.9399995803833
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,Params(M),80,14.899999618530273
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,Params(M),89,14.859999656677246
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer3,Params(M),99,14.8100004196167
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,ACC,0,93.5199966430664
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,ACC,10,93.18000030517578
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,ACC,20,92.33000183105469
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,ACC,30,90.9000015258789
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,ACC,40,89.68000030517578
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,ACC,50,86.69000244140625
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,ACC,60,82.4800033569336
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,ACC,70,77.26000213623047
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,ACC,80,65.69000244140625
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,ACC,89,34.959999084472656
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,ACC,99,15.569999694824219
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,MACs(G),0,314.9599914550781
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,MACs(G),10,314.95001220703125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,MACs(G),20,314.95001220703125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,MACs(G),30,314.94000244140625
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,MACs(G),40,314.94000244140625
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,MACs(G),50,314.92999267578125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,MACs(G),60,314.92999267578125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,MACs(G),70,314.9200134277344
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,MACs(G),80,314.9200134277344
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,MACs(G),89,314.9100036621094
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,MACs(G),99,314.9100036621094
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,Params(M),0,15.25
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,Params(M),10,15.130000114440918
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,Params(M),20,15.020000457763672
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,Params(M),30,14.899999618530273
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,Params(M),40,14.779999732971191
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,Params(M),50,14.65999984741211
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,Params(M),60,14.539999961853027
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,Params(M),70,14.430000305175781
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,Params(M),80,14.3100004196167
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,Params(M),89,14.1899995803833
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer5,Params(M),99,14.079999923706055
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,ACC,0,93.76000213623047
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,ACC,10,93.13999938964844
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,ACC,20,92.68000030517578
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,ACC,30,91.98999786376953
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,ACC,40,90.0999984741211
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,ACC,50,90.91999816894531
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,ACC,60,83.26000213623047
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,ACC,70,80.8499984741211
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,ACC,80,72.7699966430664
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,ACC,89,51.060001373291016
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,ACC,99,10.229999542236328
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,MACs(G),0,314.9599914550781
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,MACs(G),10,314.95001220703125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,MACs(G),20,314.95001220703125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,MACs(G),30,314.94000244140625
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,MACs(G),40,314.92999267578125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,MACs(G),50,314.92999267578125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,MACs(G),60,314.9200134277344
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,MACs(G),70,314.9100036621094
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,MACs(G),80,314.9100036621094
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,MACs(G),89,314.8999938964844
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,MACs(G),99,314.8900146484375
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,Params(M),0,15.25
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,Params(M),10,15.069999694824219
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,Params(M),20,14.899999618530273
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,Params(M),30,14.720000267028809
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,Params(M),40,14.550000190734863
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,Params(M),50,14.369999885559082
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,Params(M),60,14.1899995803833
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,Params(M),70,14.020000457763672
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,Params(M),80,13.84000015258789
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,Params(M),89,13.65999984741211
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer6,Params(M),99,13.489999771118164
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,ACC,0,93.62000274658203
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,ACC,10,93.37000274658203
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,ACC,20,93.56999969482422
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,ACC,30,93.4000015258789
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,ACC,40,93.37999725341797
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,ACC,50,92.91999816894531
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,ACC,60,92.76000213623047
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,ACC,70,92.08000183105469
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,ACC,80,88.52999877929688
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,ACC,89,70.76000213623047
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,ACC,99,16.469999313354492
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,MACs(G),0,314.9599914550781
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,MACs(G),10,314.9599914550781
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,MACs(G),20,314.95001220703125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,MACs(G),30,314.95001220703125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,MACs(G),40,314.95001220703125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,MACs(G),50,314.95001220703125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,MACs(G),60,314.94000244140625
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,MACs(G),70,314.94000244140625
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,MACs(G),80,314.94000244140625
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,MACs(G),89,314.94000244140625
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,MACs(G),99,314.92999267578125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,Params(M),0,15.25
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,Params(M),10,14.779999732971191
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,Params(M),20,14.3100004196167
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,Params(M),30,13.829999923706055
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,Params(M),40,13.359999656677246
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,Params(M),50,12.890000343322754
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,Params(M),60,12.420000076293945
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,Params(M),70,11.949999809265137
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,Params(M),80,11.470000267028809
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,Params(M),89,11.0
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer8,Params(M),99,10.539999961853027
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,ACC,0,93.62999725341797
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,ACC,10,93.47000122070312
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,ACC,20,93.51000213623047
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,ACC,30,93.41000366210938
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,ACC,40,93.5
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,ACC,50,93.3499984741211
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,ACC,60,93.0
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,ACC,70,92.69000244140625
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,ACC,80,88.88999938964844
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,ACC,89,64.73999786376953
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,ACC,99,10.0
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,MACs(G),0,314.9599914550781
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,MACs(G),10,314.9599914550781
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,MACs(G),20,314.95001220703125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,MACs(G),30,314.95001220703125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,MACs(G),40,314.95001220703125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,MACs(G),50,314.94000244140625
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,MACs(G),60,314.94000244140625
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,MACs(G),70,314.94000244140625
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,MACs(G),80,314.92999267578125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,MACs(G),89,314.92999267578125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,MACs(G),99,314.92999267578125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,Params(M),0,15.25
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,Params(M),10,14.779999732971191
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,Params(M),20,14.3100004196167
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,Params(M),30,13.829999923706055
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,Params(M),40,13.359999656677246
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,Params(M),50,12.890000343322754
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,Params(M),60,12.420000076293945
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,Params(M),70,11.949999809265137
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,Params(M),80,11.470000267028809
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,Params(M),89,11.0
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer9,Params(M),99,10.539999961853027
No-k-mean-Layerwise/VGG-L1norm-Layerwise/layer1,ACC,0,93.83000183105469
No-k-mean-Layerwise/VGG-L1norm-Layerwise/layer1,ACC,10,91.69999694824219
