run,tag,step,value
K-L1norm/vgg16/Fullayer,ACC,0,68.25
K-L1norm/vgg16/Fullayer,ACC,10,55.70000076293945
K-L1norm/vgg16/Fullayer,ACC,20,23.709999084472656
K-L1norm/vgg16/Fullayer,ACC,30,6.880000114440918
K-L1norm/vgg16/Fullayer,ACC,40,1.1699999570846558
K-L1norm/vgg16/Fullayer,ACC,50,1.190000057220459
K-L1norm/vgg16/Fullayer,MACs(M),0,315.010009765625
K-L1norm/vgg16/Fullayer,MACs(M),10,255.7100067138672
K-L1norm/vgg16/Fullayer,MACs(M),20,201.97000122070312
K-L1norm/vgg16/Fullayer,MACs(M),30,155.42999267578125
K-L1norm/vgg16/Fullayer,MACs(M),40,114.25
K-L1norm/vgg16/Fullayer,MACs(M),50,79.80000305175781
K-L1norm/vgg16/Fullayer,Params(M),0,15.300000190734863
K-L1norm/vgg16/Fullayer,Params(M),10,12.479999542236328
K-L1norm/vgg16/Fullayer,Params(M),20,9.970000267028809
K-L1norm/vgg16/Fullayer,Params(M),30,7.699999809265137
K-L1norm/vgg16/Fullayer,Params(M),40,5.769999980926514
K-L1norm/vgg16/Fullayer,Params(M),50,4.130000114440918
K-Taylor/vgg16/Fullayer,ACC,0,68.25
K-Taylor/vgg16/Fullayer,ACC,10,49.470001220703125
K-Taylor/vgg16/Fullayer,ACC,20,15.930000305175781
K-Taylor/vgg16/Fullayer,ACC,30,3.690000057220459
K-Taylor/vgg16/Fullayer,ACC,40,1.600000023841858
K-Taylor/vgg16/Fullayer,ACC,50,1.1299999952316284
K-Taylor/vgg16/Fullayer,MACs(M),0,315.010009765625
K-Taylor/vgg16/Fullayer,MACs(M),10,255.7100067138672
K-Taylor/vgg16/Fullayer,MACs(M),20,201.97000122070312
K-Taylor/vgg16/Fullayer,MACs(M),30,155.42999267578125
K-Taylor/vgg16/Fullayer,MACs(M),40,114.25
K-Taylor/vgg16/Fullayer,MACs(M),50,79.80000305175781
K-Taylor/vgg16/Fullayer,Params(M),0,15.300000190734863
K-Taylor/vgg16/Fullayer,Params(M),10,12.479999542236328
K-Taylor/vgg16/Fullayer,Params(M),20,9.970000267028809
K-Taylor/vgg16/Fullayer,Params(M),30,7.699999809265137
K-Taylor/vgg16/Fullayer,Params(M),40,5.769999980926514
K-Taylor/vgg16/Fullayer,Params(M),50,4.130000114440918
L1norm/vgg16/Fullayer,ACC,0,68.25
L1norm/vgg16/Fullayer,ACC,10,54.27000045776367
L1norm/vgg16/Fullayer,ACC,20,27.600000381469727
L1norm/vgg16/Fullayer,ACC,30,8.140000343322754
L1norm/vgg16/Fullayer,ACC,40,1.9299999475479126
L1norm/vgg16/Fullayer,ACC,50,1.0
L1norm/vgg16/Fullayer,MACs(M),0,315.010009765625
L1norm/vgg16/Fullayer,MACs(M),10,255.7100067138672
L1norm/vgg16/Fullayer,MACs(M),20,201.97000122070312
L1norm/vgg16/Fullayer,MACs(M),30,155.42999267578125
L1norm/vgg16/Fullayer,MACs(M),40,114.25
L1norm/vgg16/Fullayer,MACs(M),50,79.80000305175781
L1norm/vgg16/Fullayer,Params(M),0,15.300000190734863
L1norm/vgg16/Fullayer,Params(M),10,12.479999542236328
L1norm/vgg16/Fullayer,Params(M),20,9.970000267028809
L1norm/vgg16/Fullayer,Params(M),30,7.699999809265137
L1norm/vgg16/Fullayer,Params(M),40,5.769999980926514
L1norm/vgg16/Fullayer,Params(M),50,4.130000114440918
Taylor/vgg16/Fullayer,ACC,0,68.25
Taylor/vgg16/Fullayer,ACC,10,48.84000015258789
Taylor/vgg16/Fullayer,ACC,20,12.619999885559082
Taylor/vgg16/Fullayer,ACC,30,3.0999999046325684
Taylor/vgg16/Fullayer,ACC,40,1.440000057220459
Taylor/vgg16/Fullayer,ACC,50,1.0199999809265137
Taylor/vgg16/Fullayer,MACs(M),0,315.010009765625
Taylor/vgg16/Fullayer,MACs(M),10,255.7100067138672
Taylor/vgg16/Fullayer,MACs(M),20,201.97000122070312
Taylor/vgg16/Fullayer,MACs(M),30,155.42999267578125
Taylor/vgg16/Fullayer,MACs(M),40,114.25
Taylor/vgg16/Fullayer,MACs(M),50,79.80000305175781
Taylor/vgg16/Fullayer,Params(M),0,15.300000190734863
Taylor/vgg16/Fullayer,Params(M),10,12.479999542236328
Taylor/vgg16/Fullayer,Params(M),20,9.970000267028809
Taylor/vgg16/Fullayer,Params(M),30,7.699999809265137
Taylor/vgg16/Fullayer,Params(M),40,5.769999980926514
Taylor/vgg16/Fullayer,Params(M),50,4.130000114440918
